銘柄コード,銘柄名称,商品分類,市場区分,業種,売買単位,東証上場日,東証上場廃止日
211A0,カドス・コーポレーション,株式,スタンダード,建設業,100,2024-07-18,
221A0,ＭＡＸＩＳ日経半導体株上場投信,ETF,その他,nan,10,2024-07-19,
212A0,フィットイージー,株式,プライム,サービス業,100,2024-07-23,
223A0,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,ETF,その他,nan,1,2024-07-25,
224A0,グローバルＸ　ウラニウムビジネス　ＥＴＦ,ETF,その他,nan,1,2024-07-25,
215A0,タイミー,株式,グロース,サービス業,100,2024-07-26,
216A0,ライフクリエイト,株式,TOKYO PRO Market,小売業,100,2024-07-26,
218A0,Ｌｉｂｅｒａｗａｒｅ,株式,グロース,精密機器,100,2024-07-29,
219A0,Ｈｅａｒｔｓｅｅｄ,株式,グロース,医薬品,100,2024-07-30,
226A0,勝美ジャパン,株式,TOKYO PRO Market,食料品,100,2024-07-30,
220A0,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,株式,スタンダード,情報・通信業,100,2024-07-31,
227A0,ＩＮＳＩＧＨＴ　ＬＡＢ,株式,TOKYO PRO Market,情報・通信業,100,2024-08-05,
222A0,ＮＩＣＳ,株式,TOKYO PRO Market,情報・通信業,100,2024-08-08,
229A0,アスミホールディングス,株式,TOKYO PRO Market,建設業,100,2024-08-13,
233A0,ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０,ETF,その他,nan,1,2024-08-20,
228A0,オプロ,株式,グロース,情報・通信業,100,2024-08-21,
234A0,グローバルＸ　ＭＳＣＩ　キャッシュフローキング－日本株式　ＥＴＦ,ETF,その他,nan,1,2024-08-22,
235A0,グローバルＸ　高配当３０－日本株式　ＥＴＦ,ETF,その他,nan,1,2024-08-22,
236A0,ｉシェアーズ　日本国債７－１０年　ＥＴＦ,ETF,その他,nan,10,2024-08-28,
237A0,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ,ETF,その他,nan,10,2024-08-28,
238A0,ｉシェアーズ　米国債２５年超　ロングデュレーション　ＥＴＦ（為替ヘッジあり）,ETF,その他,nan,10,2024-08-28,
239A0,バレッグス,株式,TOKYO PRO Market,不動産業,100,2024-09-06,
252A0,ウェッジ,株式,TOKYO PRO Market,小売業,100,2024-09-24,
257A0,ＳＭＴ　ＥＴＦ日本株厳選投資アクティブ,ETF,その他,nan,1,2024-09-24,
258A0,ＳＭＴ　ＥＴＦ国内リート厳選投資アクティブ,ETF,その他,nan,1,2024-09-24,
241A0,ＲＯＸＸ,株式,グロース,情報・通信業,100,2024-09-25,
243A0,トップス,株式,TOKYO PRO Market,食料品,100,2024-09-26,
244A0,グロースエクスパートナーズ,株式,グロース,情報・通信業,100,2024-09-26,
245A0,ＩＮＧＳ,株式,グロース,小売業,100,2024-09-26,
246A0,アスア,株式,グロース,サービス業,100,2024-09-26,
248A0,キッズスター,株式,グロース,情報・通信業,100,2024-09-26,
247A0,Ａｉロボティクス,株式,グロース,化学,100,2024-09-27,
249A0,ヒューマンアジャスト,株式,TOKYO PRO Market,サービス業,100,2024-09-27,
251A0,ニューロマジック,株式,TOKYO PRO Market,サービス業,100,2024-09-30,
250A0,シマダヤ,株式,スタンダード,食料品,100,2024-10-01,
253A0,ＥＴＳグループ,株式,スタンダード,建設業,100,2024-10-01,
254A0,ＡＩフュージョンキャピタルグループ,株式,スタンダード,証券、商品先物取引業,100,2024-10-01,
255A0,ジーエルテクノホールディングス,株式,スタンダード,精密機器,100,2024-10-01,
256A0,飛島ホールディングス,株式,プライム,建設業,100,2024-10-01,
260A0,オルツ,株式,上場廃止,情報・通信業,100,2024-10-11,2025-08-31
261A0,日水コン,株式,スタンダード,サービス業,100,2024-10-16,
262A0,インターメスティック,株式,プライム,小売業,100,2024-10-18,
263A0,デジタルキューブ,株式,TOKYO PRO Market,情報・通信業,100,2024-10-18,
264A0,Ｓｃｈｏｏ,株式,グロース,サービス業,100,2024-10-22,
90230,東京地下鉄,株式,プライム,陸運業,100,2024-10-23,
267A0,トワライズ,株式,TOKYO PRO Market,その他金融業,100,2024-10-23,
266A0,グローカルマーケティング,株式,TOKYO PRO Market,サービス業,100,2024-10-25,
268A0,リガク・ホールディングス,株式,プライム,精密機器,100,2024-10-25,
265A0,Ｈｍｃｏｍｍ,株式,グロース,情報・通信業,100,2024-10-28,
269A0,Ｓａｐｅｅｔ,株式,グロース,情報・通信業,100,2024-10-29,
271A0,アクセリア,株式,TOKYO PRO Market,情報・通信業,100,2024-10-31,
273A0,ＳＢＩ　サウジアラビア株式上場投信,ETF,その他,nan,1,2024-10-31,
275A0,ハンワホームズ,株式,上場廃止,建設業,100,2024-11-14,2025-11-16
279A0,インターグ,株式,TOKYO PRO Market,サービス業,100,2024-11-20,
282A0,グローバルＸ　半導体・トップ１０－日本株式　ＥＴＦ,ETF,その他,nan,1,2024-11-21,
283A0,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ,ETF,その他,nan,1,2024-11-21,
274A0,ガーデン,株式,スタンダード,小売業,100,2024-11-22,
284A0,フクヤ建設,株式,TOKYO PRO Market,建設業,100,2024-11-26,
